ID,predict_D,predict_B
120115,134.0703331,0.423990206
68153,105.6189297,0.220732794
106820,104.232818,0.471925534
125077,88.79190988,0.2828126
12573,80.91901614,0.605167213
185052,79.82931227,0.415458883
185114,79.00529209,0.466929705
177837,78.58025368,0.45872966
12597,78.1113146,0.452085113
12361,76.98033614,0.397216294
12312,76.80024915,0.422382345
149792,76.39614482,0.489289523
7402,76.01116539,0.372392343
6006,75.65220151,0.3812036
5742,73.48007036,0.534170927
147841,72.89166065,0.416814984
149107,72.01816144,0.35776885
115091,69.94441028,0.376406564
4194,69.54189118,0.368789304
67712,68.83937314,0.53994633
168349,68.68306507,0.318809053
6183,67.67606616,0.474387384
68222,67.61720798,0.34734214
14486,66.9945112,0.325907463
12350,66.69740355,0.389382626
189943,65.14808188,0.509144517
133491,63.15366328,0.386307621
156568,59.46169464,0.417881672
145982,59.06873281,0.489327703
167536,57.8550138,0.460156015
12666,57.79956971,0.377106169
170195,57.05672216,0.430003773
13188,56.88748232,0.313825868
144812,56.7310092,0.329230635
163608,56.08219982,0.515686058
4786,54.93745056,0.323805473
90013,54.0413867,0.434316781
99003,53.61960932,0.288276402
14487,53.47039403,0.535527175
4200,52.6821861,0.275483744
12122,52.36717548,0.488140961
65136,51.99924249,0.363055467
39967,51.50286067,0.359881337
12328,51.18480158,0.371281593
44840,51.07481566,0.340805644
159208,51.02865221,0.428650545
41901,50.5809071,0.399520071
185080,50.53398009,0.461840532
183698,49.9448272,0.284333504
95681,49.80268041,0.374485573
3964,49.72712159,0.53272171
50751,49.63114455,0.45530159
7809,49.58446037,0.52116903
128230,49.09827149,0.266269348
139107,49.06987361,0.318068298
4767,48.44429679,0.552739303
156651,48.3520198,0.413958437
5798,48.34507677,0.400084521
40891,48.15099033,0.315407547
52659,47.8602774,0.346367606
58597,47.73933309,0.355433025
19856,47.53610527,0.443124047
172924,47.40874442,0.330574379
76780,47.34844263,0.345014576
81065,47.33564414,0.331511384
185153,47.28302745,0.489619457
167493,47.00917575,0.35164612
99564,46.95245565,0.274608637
78900,46.94403008,0.464834023
166529,46.07929554,0.417876242
125164,46.03215425,0.379551563
45305,46.00763671,0.312608044
89816,45.99279377,0.410460892
159424,45.98063371,0.490586755
1549,45.84107757,0.35431565
32210,45.79279696,0.289661168
144076,45.71900184,0.469285825
26378,45.42623767,0.317084912
44060,45.39779452,0.40736935
12313,45.36581093,0.326749608
144846,45.35067923,0.432099332
160972,45.25906329,0.484803702
107188,45.2561475,0.48297858
123419,45.25115653,0.270594364
145823,45.09054275,0.473492752
148166,45.05681127,0.489785654
160431,44.91008977,0.429763977
168574,44.86948449,0.347392576
185053,44.79431054,0.35463783
92860,44.53133838,0.298321086
118171,44.52456941,0.160238024
104587,44.48602531,0.315309345
37575,44.44006085,0.452779954
125277,44.4377149,0.409661879
14638,44.3990707,0.372574159
169955,44.34407688,0.425324273
175132,44.15806821,0.350341056
127106,44.12448853,0.41483445
48075,44.06974359,0.452517601
29364,44.04739624,0.382337435
8272,43.87307894,0.49368876
41986,43.85056483,0.281188159
66219,43.84774641,0.415406127
7691,43.74752588,0.491330695
112259,43.56592579,0.39814408
4605,43.52298152,0.440689203
4208,43.37640325,0.265478177
54347,43.3231162,0.2905573
130024,43.28010483,0.436666096
30450,43.19966459,0.479726265
123020,42.96909153,0.307671528
143936,42.88155466,0.478407676
3965,42.8469635,0.433600988
142688,42.84690412,0.401413694
12370,42.79574238,0.135380904
158095,42.69808185,0.503193378
79900,42.67068456,0.443210816
38857,42.67062121,0.261542971
137436,42.65717207,0.424465719
67030,42.57174753,0.282935062
71181,42.51447858,0.367505282
126975,42.4839243,0.428907654
34319,42.45681338,0.323213698
69455,42.43955411,0.4995293
24150,42.437424,0.335584153
179025,42.42122298,0.286762889
191779,42.35068236,0.397840643
